
Iteration	Jx1	Jx2	Jx3
1	1.200000	0.833333	2.400000	
2	1.346667	1.633333	2.493333	
3	1.045333	1.631111	2.784000	
4	1.104356	1.876889	2.843378	
5	1.017920	1.886904	2.929884	
6	1.031215	1.958969	2.951178	
7	1.006648	1.965184	2.977344	
8	1.009395	1.986456	2.984744	
9	1.002366	1.989240	2.992703	
10	1.002845	1.995563	2.995223	
11	1.000819	1.996663	2.997656	
12	1.000866	1.998555	2.998501	
13	1.000278	1.998962	2.999249	
14	1.000265	1.999532	2.999529	
15	1.000093	1.999676	2.999760	
16	1.000081	1.999849	2.999852	
17	1.000031	1.999899	2.999923	
18	1.000025	1.999951	2.999954	
19	1.000010	1.999968	2.999976	
20	1.000008	1.999984	2.999985	
21	1.000003	1.999990	2.999992	
22	1.000003	1.999995	2.999995	
23	1.000001	1.999997	2.999997	
24	1.000001	1.999998	2.999999	
25	1.000000	1.999999	2.999999	
26	1.000000	1.999999	3.000000	
27	1.000000	2.000000	3.000000	
28	1.000000	2.000000	3.000000	
29	1.000000	2.000000	3.000000	
30	1.000000	2.000000	3.000000	
